Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
12-Jan-26,NSE,Nairobi Securities Exchange Plc,6.5,25.9,20,20.5,20.2,20.3,-0.1,-0.49%,52899,-
12-Jan-26,AMAC,Africa Mega Agricorp Plc,51,118.25,63.5,63.5,70.5,70.5,-,-,99,-
12-Jan-26,BOC,BOC Kenya Plc,76,150,126,133,129.75,130,-0.25,-0.19%,831,-
12-Jan-26,BAT,British American Tobacco Kenya Plc,345,629,465,469,467.5,467.75,-0.25,-0.05%,1576,-
12-Jan-26,CARB,Carbacid Investments Plc,18,33,28.5,29.6,29.05,29,0.05,0.17%,16346,-
12-Jan-26,EABL,East African Breweries Ltd,167,351,254,258.5,255.5,255.25,0.25,0.10%,22707,-
12-Jan-26,FTGH,Flame Tree Group Holdings Ltd,1.05,3.11,1.7,1.75,1.74,1.7,0.04,2.35%,58905,-
12-Jan-26,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
12-Jan-26,SKL,Shri Krishana Overseas Plc,5.8,12,7.4,8.2,8.18,8.08,0.1,1.24%,4823,-
12-Jan-26,UNGA,Unga Group Ltd,18.05,34,23.9,25,24.15,24.4,-0.25,-1.02%,2387,-
12-Jan-26,SCOM,Safaricom Plc,17,34.2,28.9,29.45,29.05,29.1,-0.05,-0.17%,5915195,-
12-Jan-26,LAPR,LAPTrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
12-Jan-26,GLD,ABSA NewGold ETF,881,9800,5400,5600,5380,5380,-,-,6,-
12-Jan-26,SMWF,Satrix MSCI World Feeder ETF,755,1050,860,876,874,874,-,-,26,-
12-Jan-26,^N10I,NSE 10-Share Index,1250.85,2271.75,2023.21,2023.21,2023.21,2022.61,0.6,0.03%,-,-
12-Jan-26,^N20I,NSE 20-Share Index,2092.84,3758.73,3246.01,3246.01,3246.01,3233.75,12.26,0.38%,-,-
12-Jan-26,^N25I,NSE 25-Share Index,3314.15,5948.29,5250.2,5250.2,5250.2,5245.74,4.46,0.09%,-,-
12-Jan-26,^NASI,NSE All-Share Index,123.6,216.69,192,192,192,191.87,0.13,0.07%,-,-
12-Jan-26,^NBSI,NSE Banking Sector Index,149.92,245.9,212.06,212.06,212.06,211.72,0.34,0.16%,-,-
12-Jan-26,^NBDI,NSE Bonds Index,1140.96,1210.41,1167.15,1167.15,1167.15,1157.65,9.5,0.82%,-,-
